UE_ID,x,y,t
UE-1,50,10,0
UE-1,250,10,1
UE-1,450,10,2
UE-1,650,10,3
UE-1,750,10,4
UE-1,450,10,5
UE-1,250,10,6
UE-1,50,10,7
UE-1,250,10,8
UE-1,450,10,9
UE-1,650,10,10
UE-1,750,10,11
UE-1,50,10,12
UE-1,250,10,13
UE-1,450,10,14
UE-1,650,10,15
UE-1,750,10,16
UE-1,50,10,17
UE-1,250,10,18
UE-1,450,10,19
UE-1,650,10,20
UE-1,750,10,21
UE-1,50,10,22
UE-1,250,10,23
UE-1,450,10,24
UE-1,650,10,25
UE-1,750,10,26
UE-1,250,10,27
UE-1,50,10,28
UE-1,250,10,29
UE-1,450,10,30
UE-1,750,10,31
UE-1,50,10,32
UE-1,250,10,33
UE-1,450,10,34
UE-1,750,10,35
UE-1,50,10,36
UE-1,250,10,37
UE-1,450,10,38
UE-1,750,10,39
UE-1,50,10,40
UE-1,250,10,41
UE-1,450,10,42
UE-1,750,10,43
UE-1,50,10,44
UE-1,250,10,45
UE-1,450,10,46
UE-1,750,10,47
UE-1,50,10,48
UE-1,250,10,49
UE-1,450,10,50
UE-1,750,10,51
UE-1,50,10,52
UE-1,250,10,53
UE-1,450,10,54
UE-1,750,10,55
UE-1,50,10,56
UE-1,250,10,57
UE-1,450,10,58
UE-1,750,10,59
UE-1,50,10,60
UE-1,250,10,61
UE-1,450,10,62
UE-1,750,10,63
UE-1,50,10,64
UE-1,250,10,65
UE-1,450,10,66
UE-1,750,10,67
UE-1,50,10,68
UE-1,250,10,69
UE-1,450,10,70
UE-1,750,10,71
UE-1,50,10,72
UE-1,250,10,73
UE-1,450,10,74
UE-1,750,10,75
UE-1,50,10,76
UE-1,250,10,77
UE-1,450,10,78
UE-1,750,10,79
UE-1,50,10,80
UE-1,250,10,81
UE-1,450,10,82
UE-1,750,10,83
UE-1,50,10,84
UE-1,250,10,85
UE-1,450,10,86
UE-1,750,10,87
UE-1,50,10,88
UE-1,250,10,89
UE-1,450,10,90
UE-1,750,10,91
UE-1,50,10,92
UE-1,250,10,93
UE-1,450,10,94
UE-1,750,10,95
UE-1,50,10,96
UE-1,250,10,97
UE-1,450,10,98
UE-1,750,10,99
UE-1,50,10,100
UE-1,250,10,101
UE-1,450,10,102
UE-1,750,10,103
UE-1,50,10,104
UE-1,250,10,105
UE-1,450,10,106
UE-1,750,10,107
UE-1,50,10,108
UE-1,250,10,109
UE-1,450,10,110
UE-1,750,10,111
UE-1,50,10,112
UE-1,250,10,113
UE-1,450,10,114
UE-1,750,10,115
UE-1,50,10,116
UE-1,250,10,117
UE-1,450,10,118
UE-1,750,10,119
UE-1,50,10,120
,,,
UE-2,50,25,0
UE-2,250,25,1
UE-2,450,25,2
UE-2,650,25,3
UE-2,750,25,4
UE-2,450,25,5
UE-2,250,25,6
UE-2,50,25,7
UE-2,250,25,8
