Timestamp(s),UE_ID,Serving_gNB,Target_gNB,Serving_SINR(dB),RSRP(dBm),Remarks
0.20,UE-1,gNB-3,gNB-1,-20.0,-98.6,
0.20,UE-2,gNB-3,gNB-1,-4.2,-90.4,
0.20,UE-3,gNB-2,gNB-1,-20.0,-92.3,
0.20,UE-5,gNB-3,gNB-1,-16.5,-95.3,
0.20,UE-8,gNB-1,gNB-3,-19.3,-97.7,
0.20,UE-10,gNB-1,gNB-3,-20.0,-106.8,
0.20,UE-11,gNB-2,gNB-3,-20.0,-106.7,
0.30,UE-9,gNB-2,gNB-1,-20.0,-99.8,
0.40,UE-6,gNB-1,gNB-3,3.0,-83.0,
0.40,UE-8,gNB-3,gNB-1,-3.2,-89.5,
0.50,UE-9,gNB-1,gNB-3,-9.3,-94.8,
0.60,UE-5,gNB-1,gNB-3,2.6,-80.9,
0.60,UE-6,gNB-3,gNB-1,-15.5,-99.6,
0.60,UE-7,gNB-1,gNB-3,-19.9,-100.9,
0.60,UE-8,gNB-1,gNB-3,-6.8,-92.0,Ping-Pong
0.90,UE-5,gNB-3,gNB-1,-15.7,-100.0,Ping-Pong
1.50,UE-6,gNB-1,gNB-3,-9.2,-91.5,Ping-Pong
1.80,UE-9,gNB-3,gNB-4,-14.0,-99.2,Ping-Pong
2.00,UE-4,gNB-1,gNB-2,-8.1,-94.3,
2.10,UE-3,gNB-1,gNB-2,-0.7,-85.7,
2.10,UE-6,gNB-3,gNB-2,-20.0,-116.1,Ping-Pong
2.10,UE-8,gNB-3,gNB-4,-20.0,-106.7,Ping-Pong
2.20,UE-2,gNB-1,gNB-2,-12.8,-99.3,
2.20,UE-7,gNB-3,gNB-4,-19.5,-100.3,
2.20,UE-10,gNB-3,gNB-4,-14.5,-97.9,
2.40,UE-4,gNB-2,gNB-4,-3.9,-90.6,
2.40,UE-5,gNB-1,gNB-2,-20.0,-100.9,Ping-Pong
2.40,UE-11,gNB-3,gNB-4,-20.0,-109.4,
2.60,UE-6,gNB-2,gNB-4,-9.5,-96.3,Ping-Pong
2.70,UE-5,gNB-2,gNB-1,-4.1,-89.9,Ping-Pong
2.80,UE-1,gNB-1,gNB-2,-2.4,-87.8,
2.80,UE-4,gNB-4,gNB-2,-4.4,-90.2,Ping-Pong
2.90,UE-2,gNB-2,gNB-3,-3.3,-88.4,Ping-Pong
2.90,UE-7,gNB-4,gNB-3,-0.3,-83.8,Ping-Pong
3.00,UE-5,gNB-1,gNB-2,-17.3,-103.0,Ping-Pong
3.00,UE-6,gNB-4,gNB-2,-14.6,-93.7,Ping-Pong
3.10,UE-2,gNB-3,gNB-2,-20.0,-113.9,Ping-Pong
3.20,UE-7,gNB-3,gNB-4,-20.0,-112.9,Ping-Pong
3.40,UE-6,gNB-2,gNB-4,8.1,-77.5,Ping-Pong
3.50,UE-5,gNB-2,gNB-4,-7.4,-92.2,Ping-Pong
3.80,UE-6,gNB-4,gNB-2,6.4,-78.2,Ping-Pong
4.20,UE-8,gNB-4,gNB-3,-3.7,-90.3,Ping-Pong
4.30,UE-3,gNB-2,gNB-4,-20.0,-102.1,Ping-Pong
4.30,UE-5,gNB-4,gNB-2,-12.7,-94.8,Ping-Pong
4.40,UE-1,gNB-2,gNB-1,3.9,-80.7,Ping-Pong
4.60,UE-1,gNB-1,gNB-2,-8.9,-88.8,Ping-Pong
5.00,UE-5,gNB-2,gNB-1,-20.0,-105.3,Ping-Pong
5.00,UE-11,gNB-4,gNB-3,-10.7,-96.1,Ping-Pong
5.10,UE-2,gNB-2,gNB-1,0.8,-85.2,Ping-Pong
5.10,UE-6,gNB-2,gNB-3,-19.8,-105.7,Ping-Pong
5.10,UE-9,gNB-4,gNB-3,-14.4,-98.5,Ping-Pong
5.40,UE-4,gNB-2,gNB-1,-7.0,-91.7,Ping-Pong
5.40,UE-7,gNB-4,gNB-1,-15.2,-101.2,Ping-Pong
5.50,UE-1,gNB-2,gNB-1,-20.0,-108.1,Ping-Pong
5.50,UE-3,gNB-4,gNB-1,-20.0,-118.5,Ping-Pong
5.50,UE-10,gNB-4,gNB-3,-17.3,-100.3,Ping-Pong
5.60,UE-11,gNB-3,gNB-1,-6.5,-87.7,Ping-Pong
5.70,UE-6,gNB-3,gNB-2,-6.5,-92.8,Ping-Pong
5.80,UE-11,gNB-1,gNB-3,-16.0,-102.0,Ping-Pong
6.20,UE-6,gNB-2,gNB-3,-20.0,-101.1,Ping-Pong
6.50,UE-4,gNB-1,gNB-3,18.4,-68.4,Ping-Pong
6.50,UE-6,gNB-3,gNB-1,-12.8,-95.8,Ping-Pong
6.50,UE-7,gNB-1,gNB-3,-13.2,-92.9,Ping-Pong
6.50,UE-8,gNB-3,gNB-1,-1.9,-86.3,Ping-Pong
6.70,UE-4,gNB-3,gNB-1,-15.1,-96.8,Ping-Pong
6.70,UE-8,gNB-1,gNB-3,-8.3,-86.9,Ping-Pong
6.90,UE-7,gNB-3,gNB-1,-20.0,-74.0,Ping-Pong
7.00,UE-6,gNB-1,gNB-3,-16.5,-97.0,Ping-Pong
7.20,UE-6,gNB-3,gNB-1,-13.9,-100.0,Ping-Pong
7.50,UE-7,gNB-1,gNB-3,-6.7,-91.2,Ping-Pong
8.00,UE-1,gNB-1,gNB-2,-20.0,-109.0,Ping-Pong
8.10,UE-2,gNB-1,gNB-2,-13.0,-98.3,Ping-Pong
8.10,UE-3,gNB-1,gNB-2,-17.5,-99.2,Ping-Pong
8.10,UE-4,gNB-1,gNB-2,-5.8,-91.2,Ping-Pong
8.10,UE-6,gNB-1,gNB-4,-17.9,-102.8,Ping-Pong
8.10,UE-9,gNB-3,gNB-4,-6.2,-91.8,Ping-Pong
8.10,UE-10,gNB-3,gNB-4,-20.0,-106.2,Ping-Pong
8.20,UE-7,gNB-3,gNB-2,-20.0,-106.5,Ping-Pong
8.30,UE-5,gNB-1,gNB-4,-15.3,-101.7,Ping-Pong
8.40,UE-11,gNB-3,gNB-4,-11.6,-95.3,Ping-Pong
8.60,UE-8,gNB-3,gNB-4,-12.9,-99.2,Ping-Pong
9.30,UE-6,gNB-4,AnchorGNB-1,-7.2,-89.1,Ping-Pong
9.30,UE-8,gNB-4,AnchorGNB-1,-14.7,-81.6,Ping-Pong
9.30,UE-11,gNB-4,AnchorGNB-1,-2.6,-85.1,Ping-Pong
9.40,UE-5,gNB-4,gNB-2,-8.4,-90.7,Ping-Pong
9.50,UE-7,gNB-2,gNB-4,-14.9,-90.5,Ping-Pong
9.50,UE-8,AnchorGNB-1,gNB-4,-14.5,-81.8,Ping-Pong
9.60,UE-5,gNB-2,AnchorGNB-1,-6.1,-90.7,Ping-Pong
9.60,UE-6,AnchorGNB-1,gNB-4,2.7,-80.2,Ping-Pong
9.70,UE-7,gNB-4,AnchorGNB-1,-20.0,-95.8,Ping-Pong
9.90,UE-3,gNB-2,AnchorGNB-1,-2.3,-76.6,Ping-Pong
10.10,UE-1,gNB-2,AnchorGNB-1,-14.6,-85.2,Ping-Pong
10.10,UE-2,gNB-2,AnchorGNB-1,-7.8,-87.1,Ping-Pong
10.10,UE-4,gNB-2,AnchorGNB-1,-20.0,-99.9,Ping-Pong
10.10,UE-9,gNB-4,AnchorGNB-1,-13.3,-88.6,Ping-Pong
10.10,UE-10,gNB-4,AnchorGNB-1,-13.5,-97.6,Ping-Pong
10.20,UE-6,gNB-4,AnchorGNB-1,-20.0,-99.1,Ping-Pong
10.30,UE-8,gNB-4,AnchorGNB-1,-10.7,-94.0,Ping-Pong
12.10,UE-1,AnchorGNB-1,gNB-1,12.0,-70.0,Ping-Pong
12.20,UE-10,AnchorGNB-1,gNB-3,0.8,-76.0,Ping-Pong
12.20,UE-11,AnchorGNB-1,gNB-3,-12.8,-78.4,Ping-Pong
12.30,UE-1,gNB-1,AnchorGNB-1,-3.2,-75.2,Ping-Pong
13.00,UE-1,AnchorGNB-1,gNB-1,-7.1,-66.2,Ping-Pong
13.00,UE-11,gNB-3,AnchorGNB-1,-6.3,-79.7,Ping-Pong
13.10,UE-10,gNB-3,AnchorGNB-1,-7.3,-83.8,Ping-Pong
13.20,UE-1,gNB-1,AnchorGNB-1,-6.5,-76.9,Ping-Pong
14.60,UE-9,AnchorGNB-1,gNB-4,-4.9,-86.1,Ping-Pong
14.80,UE-9,gNB-4,AnchorGNB-1,-16.3,-99.5,Ping-Pong
14.80,UE-11,AnchorGNB-1,gNB-4,8.1,-78.3,Ping-Pong
15.10,UE-1,AnchorGNB-1,gNB-2,5.3,-78.3,Ping-Pong
15.10,UE-8,AnchorGNB-1,gNB-4,-1.4,-84.4,Ping-Pong
