time_stamp,gnb_id,UE-1 TP,UE-2 TP,UE-3 TP,UE-4 TP,UE-5 TP,UE-6 TP,UE-7 TP,UE-8 TP,UE-9 TP,UE-10 TP,UE-11 TP,Total_Throughput
21.20,AnchorGNB-1,0.00,2.00,10.00,0.00,40.00,2.00,20.00,2.00,1.00,0.00,,77.00
21.20,gNB-3,,,,,,,,,,,0.00,0.00
21.30,AnchorGNB-1,10.00,1.00,0.00,70.00,2.00,20.00,1.00,40.00,480.00,0.00,,624.00
21.30,gNB-3,,,,,,,,,,,0.00,0.00
21.40,AnchorGNB-1,1.00,5.00,70.00,10.00,40.00,70.00,40.00,20.00,0.00,10.00,,266.00
21.40,gNB-3,,,,,,,,,,,40.00,40.00
21.50,AnchorGNB-1,70.00,20.00,5.00,10.00,110.00,2.00,1.00,20.00,40.00,20.00,,298.00
21.50,gNB-3,,,,,,,,,,,20.00,20.00
21.60,AnchorGNB-1,70.00,10.00,1.00,0.00,0.00,10.00,20.00,0.00,2.00,5.00,,118.00
21.60,gNB-3,,,,,,,,,,,220.00,220.00
21.70,AnchorGNB-1,10.00,20.00,20.00,70.00,40.00,20.00,1.00,110.00,480.00,10.00,,781.00
21.70,gNB-3,,,,,,,,,,,70.00,70.00
21.80,AnchorGNB-1,70.00,5.00,0.00,20.00,10.00,0.00,1.00,70.00,2.00,550.00,,728.00
21.80,gNB-3,,,,,,,,,,,10.00,10.00
21.90,AnchorGNB-1,0.00,40.00,110.00,1.00,280.00,40.00,420.00,10.00,1.00,20.00,,922.00
21.90,gNB-3,,,,,,,,,,,20.00,20.00
22.00,AnchorGNB-1,0.00,49.00,154.00,154.00,385.00,196.00,28.00,0.00,3.50,0.00,,969.50
22.00,gNB-3,,,,,,,,,,,1.40,1.40
22.10,AnchorGNB-1,1.00,110.00,110.00,160.00,10.00,70.00,10.00,0.00,1.00,0.00,,472.00
22.10,gNB-3,,,,,,,,,,,0.00,0.00
22.20,AnchorGNB-1,110.00,40.00,350.00,160.00,160.00,20.00,160.00,0.00,70.00,10.00,,1080.00
22.20,gNB-3,,,,,,,,,,,2.00,2.00
22.30,AnchorGNB-1,110.00,20.00,5.00,70.00,220.00,40.00,40.00,40.00,0.00,0.00,,545.00
22.30,gNB-3,,,,,,,,,,,20.00,20.00
22.40,AnchorGNB-1,70.00,160.00,40.00,160.00,40.00,20.00,10.00,5.00,70.00,20.00,,595.00
22.40,gNB-3,,,,,,,,,,,0.00,0.00
22.50,AnchorGNB-1,40.00,160.00,40.00,40.00,70.00,20.00,10.00,20.00,220.00,5.00,,625.00
22.50,gNB-3,,,,,,,,,,,10.00,10.00
22.60,AnchorGNB-1,5.00,280.00,110.00,70.00,10.00,110.00,40.00,40.00,70.00,10.00,,745.00
22.60,gNB-3,,,,,,,,,,,0.00,0.00
22.70,AnchorGNB-1,70.00,2.00,160.00,20.00,420.00,20.00,1.00,20.00,1.00,70.00,,784.00
22.70,gNB-3,,,,,,,,,,,2.00,2.00
22.80,AnchorGNB-1,40.00,350.00,5.00,40.00,220.00,220.00,10.00,110.00,110.00,0.00,,1105.00
22.80,gNB-3,,,,,,,,,,,40.00,40.00
22.90,AnchorGNB-1,20.00,10.00,110.00,70.00,110.00,5.00,280.00,10.00,40.00,110.00,,765.00
22.90,gNB-3,,,,,,,,,,,20.00,20.00
23.00,AnchorGNB-1,28.00,245.00,112.00,385.00,385.00,336.00,196.00,28.00,0.00,28.00,,1743.00
23.00,gNB-3,,,,,,,,,,,49.00,49.00
23.10,AnchorGNB-1,40.00,110.00,420.00,550.00,550.00,550.00,420.00,110.00,0.00,160.00,,2910.00
23.10,gNB-3,,,,,,,,,,,160.00,160.00
23.20,AnchorGNB-1,40.00,350.00,480.00,550.00,550.00,280.00,2.00,220.00,40.00,110.00,,2622.00
23.20,gNB-3,,,,,,,,,,,2.00,2.00
23.30,AnchorGNB-1,350.00,110.00,550.00,550.00,550.00,550.00,110.00,280.00,10.00,40.00,,3100.00
23.30,gNB-3,,,,,,,,,,,0.00,0.00
23.40,AnchorGNB-1,70.00,110.00,420.00,550.00,550.00,550.00,350.00,110.00,110.00,2.00,,2822.00
23.40,gNB-3,,,,,,,,,,,5.00,5.00
23.50,AnchorGNB-1,220.00,480.00,280.00,550.00,550.00,220.00,160.00,70.00,10.00,40.00,,2580.00
23.50,gNB-3,,,,,,,,,,,70.00,70.00
23.60,AnchorGNB-1,350.00,220.00,70.00,550.00,550.00,420.00,420.00,70.00,110.00,70.00,,2830.00
23.60,gNB-3,,,,,,,,,,,1.00,1.00
23.70,AnchorGNB-1,5.00,110.00,420.00,550.00,550.00,550.00,220.00,550.00,220.00,20.00,,3195.00
23.70,gNB-3,,,,,,,,,,,5.00,5.00
23.80,AnchorGNB-1,40.00,160.00,220.00,550.00,550.00,480.00,480.00,110.00,10.00,280.00,,2880.00
23.80,gNB-3,,,,,,,,,,,2.00,2.00
23.90,AnchorGNB-1,420.00,160.00,420.00,550.00,550.00,550.00,550.00,70.00,220.00,10.00,,3500.00
23.90,gNB-3,,,,,,,,,,,5.00,5.00
24.00,AnchorGNB-1,1.40,7.00,1.40,49.00,77.00,0.70,7.00,154.00,0.70,1.40,,299.60
24.00,gNB-3,,,,,,,,,,,7.00,7.00
24.10,AnchorGNB-1,1.00,10.00,160.00,10.00,160.00,110.00,110.00,10.00,220.00,1.00,,792.00
24.10,gNB-3,,,,,,,,,,,2.00,2.00
24.20,AnchorGNB-1,160.00,110.00,40.00,20.00,40.00,20.00,110.00,1.00,0.00,1.00,,502.00
24.20,gNB-3,,,,,,,,,,,550.00,550.00
24.30,AnchorGNB-1,1.00,1.00,70.00,20.00,40.00,220.00,5.00,10.00,5.00,40.00,,412.00
24.30,gNB-3,,,,,,,,,,,10.00,10.00
24.40,AnchorGNB-1,0.00,5.00,70.00,350.00,20.00,110.00,160.00,10.00,0.00,70.00,,795.00
24.40,gNB-3,,,,,,,,,,,2.00,2.00
24.50,AnchorGNB-1,10.00,1.00,110.00,20.00,40.00,10.00,160.00,70.00,0.00,20.00,,441.00
24.50,gNB-3,,,,,,,,,,,160.00,160.00
24.60,AnchorGNB-1,10.00,110.00,40.00,10.00,40.00,110.00,220.00,10.00,1.00,2.00,,553.00
24.60,gNB-3,,,,,,,,,,,20.00,20.00
24.70,AnchorGNB-1,5.00,0.00,220.00,20.00,280.00,160.00,220.00,1.00,0.00,0.00,,906.00
24.70,gNB-3,,,,,,,,,,,110.00,110.00
24.80,AnchorGNB-1,5.00,20.00,40.00,220.00,20.00,70.00,40.00,40.00,2.00,70.00,,527.00
24.80,gNB-3,,,,,,,,,,,10.00,10.00
24.90,AnchorGNB-1,5.00,1.00,20.00,70.00,110.00,110.00,160.00,220.00,2.00,5.00,,703.00
24.90,gNB-3,,,,,,,,,,,1.00,1.00
25.00,AnchorGNB-1,245.00,294.00,77.00,385.00,385.00,385.00,49.00,77.00,0.00,1.40,,1898.40
25.00,gNB-3,,,,,,,,,,,0.70,0.70
25.10,AnchorGNB-1,160.00,70.00,550.00,550.00,480.00,220.00,280.00,220.00,20.00,10.00,,2560.00
25.10,gNB-3,,,,,,,,,,,1.00,1.00
25.20,AnchorGNB-1,220.00,160.00,160.00,550.00,550.00,480.00,280.00,10.00,70.00,160.00,,2640.00
25.20,gNB-3,,,,,,,,,,,2.00,2.00
25.30,AnchorGNB-1,220.00,280.00,480.00,550.00,550.00,550.00,220.00,350.00,5.00,70.00,,3275.00
25.30,gNB-3,,,,,,,,,,,280.00,280.00
25.40,AnchorGNB-1,160.00,420.00,550.00,550.00,550.00,480.00,550.00,220.00,40.00,10.00,,3530.00
25.40,gNB-3,,,,,,,,,,,5.00,5.00
25.50,AnchorGNB-1,350.00,280.00,550.00,550.00,550.00,220.00,280.00,10.00,70.00,40.00,,2900.00
25.50,gNB-3,,,,,,,,,,,2.00,2.00
25.60,AnchorGNB-1,40.00,70.00,420.00,550.00,280.00,420.00,220.00,110.00,70.00,0.00,,2180.00
25.60,gNB-3,,,,,,,,,,,70.00,70.00
25.70,AnchorGNB-1,40.00,220.00,420.00,550.00,550.00,110.00,160.00,110.00,70.00,160.00,,2390.00
25.70,gNB-3,,,,,,,,,,,160.00,160.00
25.80,AnchorGNB-1,280.00,110.00,420.00,550.00,550.00,420.00,5.00,220.00,20.00,160.00,,2735.00
25.80,gNB-3,,,,,,,,,,,110.00,110.00
25.90,AnchorGNB-1,160.00,350.00,420.00,550.00,550.00,480.00,350.00,280.00,70.00,5.00,,3215.00
25.90,gNB-3,,,,,,,,,,,20.00,20.00
26.00,AnchorGNB-1,3.50,77.00,77.00,28.00,112.00,14.00,28.00,28.00,49.00,28.00,,444.50
26.00,gNB-3,,,,,,,,,,,154.00,154.00
26.10,AnchorGNB-1,350.00,10.00,220.00,350.00,70.00,70.00,110.00,70.00,70.00,0.00,,1320.00
26.10,gNB-3,,,,,,,,,,,70.00,70.00
26.20,AnchorGNB-1,40.00,40.00,110.00,160.00,70.00,40.00,160.00,0.00,10.00,20.00,,650.00
26.20,gNB-3,,,,,,,,,,,160.00,160.00
26.30,AnchorGNB-1,10.00,10.00,110.00,10.00,2.00,550.00,220.00,350.00,20.00,10.00,,1292.00
26.30,gNB-3,,,,,,,,,,,70.00,70.00
26.40,AnchorGNB-1,70.00,70.00,40.00,70.00,20.00,10.00,160.00,20.00,40.00,40.00,,540.00
26.40,gNB-3,,,,,,,,,,,10.00,10.00
26.50,AnchorGNB-1,5.00,70.00,220.00,110.00,40.00,40.00,70.00,110.00,160.00,1.00,,826.00
26.50,gNB-3,,,,,,,,,,,20.00,20.00
26.60,AnchorGNB-1,40.00,70.00,110.00,110.00,160.00,40.00,10.00,40.00,10.00,5.00,,595.00
26.60,gNB-3,,,,,,,,,,,10.00,10.00
26.70,AnchorGNB-1,70.00,160.00,70.00,220.00,220.00,350.00,160.00,40.00,20.00,70.00,,1380.00
26.70,gNB-3,,,,,,,,,,,40.00,40.00
26.80,AnchorGNB-1,5.00,160.00,20.00,5.00,280.00,350.00,5.00,70.00,110.00,40.00,,1045.00
26.80,gNB-3,,,,,,,,,,,20.00,20.00
26.90,AnchorGNB-1,70.00,220.00,20.00,70.00,70.00,280.00,160.00,40.00,220.00,20.00,,1170.00
26.90,gNB-3,,,,,,,,,,,70.00,70.00
27.00,AnchorGNB-1,0.70,0.00,7.00,14.00,3.50,0.70,0.00,0.00,14.00,3.50,,43.40
27.00,gNB-3,,,,,,,,,,,0.70,0.70
27.10,AnchorGNB-1,0.00,10.00,10.00,10.00,20.00,0.00,10.00,2.00,5.00,0.00,,67.00
27.10,gNB-3,,,,,,,,,,,40.00,40.00
27.20,AnchorGNB-1,0.00,0.00,10.00,70.00,0.00,5.00,220.00,0.00,0.00,10.00,,315.00
27.20,gNB-3,,,,,,,,,,,40.00,40.00
