Timestamp(s),UE_ID,Serving_gNB,Target_gNB,Serving_SINR(dB),RSRP(dBm),Remarks
0.20,UE-1,gNB-2,gNB-1,-20.0,-83.9,
0.20,UE-2,gNB-2,gNB-1,-20.0,-105.4,
0.20,UE-3,gNB-2,gNB-1,-20.0,-85.8,
0.20,UE-5,gNB-2,gNB-3,-20.0,-104.7,
0.20,UE-7,gNB-2,gNB-1,-20.0,-88.9,
0.20,UE-9,gNB-4,gNB-1,-20.0,-87.6,
0.20,UE-10,gNB-4,gNB-1,-12.7,-91.4,
0.30,UE-6,gNB-2,gNB-3,-20.0,-103.3,
0.50,UE-8,gNB-4,gNB-2,-0.3,-82.3,
0.80,UE-11,gNB-1,gNB-3,3.4,-74.2,
0.90,UE-8,gNB-2,gNB-4,-8.2,-91.6,
1.10,UE-1,gNB-1,gNB-2,-14.8,-86.7,
1.30,UE-2,gNB-1,gNB-2,4.5,-79.4,
1.40,UE-11,gNB-3,gNB-4,-20.0,-89.3,
1.50,UE-3,gNB-1,gNB-2,-3.6,-80.7,
1.50,UE-8,gNB-4,gNB-2,7.9,-75.6,Ping-Pong
1.60,UE-5,gNB-3,gNB-4,21.2,-56.6,
1.70,UE-3,gNB-2,gNB-1,-13.1,-88.9,Ping-Pong
1.70,UE-4,gNB-3,gNB-4,2.7,-75.2,
1.80,UE-8,gNB-2,gNB-4,-11.3,-91.9,Ping-Pong
1.80,UE-11,gNB-4,gNB-2,0.4,-79.6,Ping-Pong
1.90,UE-4,gNB-4,gNB-3,-20.0,-91.0,
2.10,UE-3,gNB-1,gNB-2,-20.0,-93.4,Ping-Pong
2.10,UE-4,gNB-3,gNB-4,-18.3,-83.2,Ping-Pong
2.10,UE-6,gNB-3,gNB-4,-20.0,-91.1,
2.20,UE-11,gNB-2,gNB-4,-1.0,-84.1,Ping-Pong
2.30,UE-8,gNB-4,gNB-2,-4.7,-78.0,Ping-Pong
2.50,UE-8,gNB-2,gNB-4,12.5,-69.0,Ping-Pong
4.30,UE-11,gNB-4,gNB-2,-11.5,-92.4,Ping-Pong
4.80,UE-11,gNB-2,gNB-4,-5.6,-80.9,Ping-Pong
5.10,UE-3,gNB-2,gNB-1,-12.6,-81.4,Ping-Pong
5.20,UE-6,gNB-4,gNB-3,-2.3,-80.8,Ping-Pong
5.30,UE-2,gNB-2,gNB-1,0.8,-82.3,Ping-Pong
5.40,UE-1,gNB-2,gNB-1,-2.4,-82.0,Ping-Pong
5.40,UE-4,gNB-4,gNB-3,-11.0,-81.9,Ping-Pong
5.50,UE-3,gNB-1,gNB-2,-5.0,-88.0,Ping-Pong
5.70,UE-4,gNB-3,gNB-4,-0.9,-81.5,Ping-Pong
5.70,UE-11,gNB-4,gNB-2,-12.4,-81.8,Ping-Pong
5.90,UE-5,gNB-4,gNB-3,18.6,-62.0,Ping-Pong
5.90,UE-11,gNB-2,gNB-4,2.8,-78.9,Ping-Pong
6.00,UE-4,gNB-4,gNB-3,-20.0,-82.2,Ping-Pong
6.00,UE-9,gNB-1,gNB-3,2.8,-76.6,
6.10,UE-3,gNB-2,gNB-1,-20.0,-84.7,Ping-Pong
6.10,UE-11,gNB-4,gNB-2,-12.3,-78.2,Ping-Pong
6.20,UE-9,gNB-3,gNB-1,0.9,-77.9,Ping-Pong
6.50,UE-11,gNB-2,gNB-4,-6.7,-84.7,Ping-Pong
7.00,UE-11,gNB-4,gNB-2,-0.5,-80.8,Ping-Pong
7.10,UE-3,gNB-1,gNB-2,-12.1,-90.0,Ping-Pong
7.10,UE-5,gNB-3,gNB-4,-10.5,-91.2,Ping-Pong
7.10,UE-6,gNB-3,gNB-4,7.2,-77.3,Ping-Pong
7.30,UE-1,gNB-1,gNB-2,3.5,-73.9,Ping-Pong
7.30,UE-3,gNB-2,gNB-1,-13.6,-89.6,Ping-Pong
7.40,UE-2,gNB-1,gNB-2,0.8,-79.1,Ping-Pong
7.60,UE-11,gNB-2,gNB-4,3.1,-73.6,Ping-Pong
7.80,UE-3,gNB-1,gNB-2,37.7,-35.5,Ping-Pong
7.80,UE-11,gNB-4,gNB-2,-19.8,-91.1,Ping-Pong
8.00,UE-4,gNB-3,gNB-4,-20.0,-99.4,Ping-Pong
9.40,UE-7,gNB-1,gNB-2,-12.5,-89.0,
9.60,UE-7,gNB-2,gNB-1,-8.9,-85.6,Ping-Pong
10.00,UE-7,gNB-1,AnchorGNB-1,-20.0,-81.6,Ping-Pong
10.20,UE-8,gNB-4,AnchorGNB-1,8.6,-73.7,Ping-Pong
10.20,UE-11,gNB-2,AnchorGNB-1,-0.8,-73.2,Ping-Pong
10.80,UE-10,gNB-1,AnchorGNB-1,11.0,-58.9,
11.00,UE-9,gNB-1,AnchorGNB-1,-20.0,-86.3,Ping-Pong
11.10,UE-1,gNB-2,AnchorGNB-1,-20.0,-90.2,Ping-Pong
11.10,UE-2,gNB-2,AnchorGNB-1,-20.0,-69.0,Ping-Pong
11.10,UE-3,gNB-2,AnchorGNB-1,-20.0,-67.4,Ping-Pong
11.10,UE-5,gNB-4,gNB-3,18.4,-52.3,Ping-Pong
11.20,UE-10,AnchorGNB-1,gNB-1,4.7,-64.3,Ping-Pong
11.30,UE-4,gNB-4,gNB-3,-9.9,-85.7,Ping-Pong
11.40,UE-6,gNB-4,AnchorGNB-1,-20.0,-94.4,Ping-Pong
11.50,UE-9,AnchorGNB-1,gNB-1,-4.7,-68.0,Ping-Pong
11.70,UE-5,gNB-3,AnchorGNB-1,-9.5,-82.1,Ping-Pong
11.70,UE-9,gNB-1,AnchorGNB-1,2.9,-71.3,Ping-Pong
11.80,UE-8,AnchorGNB-1,gNB-3,4.3,-63.1,Ping-Pong
11.80,UE-10,gNB-1,AnchorGNB-1,-1.8,-70.2,Ping-Pong
11.90,UE-4,gNB-3,AnchorGNB-1,2.6,-68.0,
11.90,UE-8,gNB-3,AnchorGNB-1,1.7,-68.6,
