time_stamp,gnb_id,UE-1 TP,UE-2 TP,UE-3 TP,UE-4 TP,UE-5 TP,UE-6 TP,UE-7 TP,UE-8 TP,UE-9 TP,UE-10 TP,UE-11 TP,Total_Throughput
21.00,AnchorGNB-1,1.40,0.70,3.50,154.00,14.70,28.00,3.50,385.00,2.10,15.40,7.00,615.30
21.10,AnchorGNB-1,165.00,60.00,170.00,2.00,2.00,25.00,70.00,420.00,41.00,20.00,160.00,1135.00
21.20,AnchorGNB-1,21.00,11.00,11.00,0.00,20.00,25.00,15.00,420.00,40.00,20.00,75.00,658.00
21.30,AnchorGNB-1,430.00,70.00,110.00,6.00,4.00,2.00,60.00,350.00,1.00,221.00,30.00,1284.00
21.40,AnchorGNB-1,162.00,550.00,70.00,10.00,50.00,5.00,41.00,550.00,40.00,41.00,70.00,1589.00
21.50,AnchorGNB-1,162.00,4.00,1.00,10.00,2.00,11.00,1.00,550.00,40.00,0.00,70.00,851.00
21.60,AnchorGNB-1,30.00,50.00,70.00,1.00,12.00,2.00,5.00,550.00,111.00,550.00,41.00,1422.00
21.70,AnchorGNB-1,111.00,5.00,2.00,0.00,0.00,0.00,1.00,420.00,20.00,5.00,550.00,1114.00
21.80,AnchorGNB-1,170.00,110.00,12.00,110.00,20.00,40.00,3.00,550.00,3.00,71.00,20.00,1109.00
21.90,AnchorGNB-1,110.00,42.00,5.00,40.00,6.00,45.00,10.00,550.00,2.00,11.00,10.00,831.00
22.00,AnchorGNB-1,385.00,245.00,245.00,49.00,3.50,385.70,3.50,112.00,3.50,4.90,3.50,1440.60
22.10,AnchorGNB-1,70.00,480.00,350.00,20.00,110.00,160.00,71.00,280.00,40.00,22.00,20.00,1623.00
22.20,AnchorGNB-1,481.00,40.00,550.00,350.00,160.00,10.00,10.00,20.00,10.00,42.00,70.00,1743.00
22.30,AnchorGNB-1,420.00,550.00,550.00,220.00,220.00,220.00,10.00,480.00,5.00,41.00,220.00,2936.00
22.40,AnchorGNB-1,550.00,110.00,220.00,160.00,40.00,2.00,4.00,70.00,15.00,10.00,45.00,1226.00
22.50,AnchorGNB-1,20.00,440.00,420.00,220.00,280.00,160.00,0.00,161.00,5.00,70.00,72.00,1848.00
22.60,AnchorGNB-1,420.00,420.00,550.00,5.00,70.00,220.00,71.00,160.00,12.00,20.00,2.00,1950.00
22.70,AnchorGNB-1,110.00,550.00,70.00,110.00,160.00,280.00,1.00,420.00,10.00,10.00,6.00,1727.00
22.80,AnchorGNB-1,220.00,550.00,480.00,70.00,110.00,40.00,20.00,350.00,21.00,5.00,10.00,1876.00
22.90,AnchorGNB-1,280.00,280.00,280.00,220.00,20.00,550.00,0.00,5.00,555.00,10.00,90.00,2290.00
23.00,AnchorGNB-1,385.00,385.00,385.00,1.40,7.00,115.50,14.00,3.50,1.40,49.00,49.00,1395.80
23.10,AnchorGNB-1,550.00,550.00,550.00,20.00,0.00,21.00,20.00,1.00,3.00,7.00,10.00,1732.00
23.20,AnchorGNB-1,550.00,550.00,550.00,7.00,1.00,5.00,10.00,110.00,60.00,111.00,45.00,1999.00
23.30,AnchorGNB-1,550.00,550.00,550.00,1.00,20.00,5.00,7.00,30.00,40.00,70.00,110.00,1933.00
23.40,AnchorGNB-1,550.00,550.00,550.00,6.00,20.00,0.00,12.00,0.00,70.00,3.00,2.00,1763.00
23.50,AnchorGNB-1,550.00,550.00,550.00,6.00,5.00,1.00,11.00,50.00,160.00,220.00,71.00,2174.00
23.60,AnchorGNB-1,550.00,550.00,550.00,25.00,20.00,1.00,2.00,4.00,115.00,110.00,1.00,1928.00
23.70,AnchorGNB-1,550.00,550.00,550.00,2.00,10.00,1.00,161.00,320.00,220.00,5.00,20.00,2389.00
