Timestamp(s),UE_ID,Serving_gNB,Target_gNB,Serving_SINR(dB),RSRP(dBm),Remarks
0.20,UE-1,gNB-4,gNB-1,-20.0,-104.3,
0.20,UE-3,gNB-2,gNB-1,-6.3,-89.7,
0.20,UE-5,gNB-4,gNB-1,-20.0,-105.9,
0.20,UE-8,gNB-4,gNB-3,-20.0,-114.6,
0.20,UE-9,gNB-1,gNB-3,-10.7,-92.6,
0.20,UE-10,gNB-2,gNB-3,-20.0,-112.4,
0.30,UE-2,gNB-4,gNB-1,-13.8,-94.7,
0.30,UE-7,gNB-4,gNB-1,-17.2,-101.8,
0.40,UE-11,gNB-1,gNB-3,-20.0,-107.5,
0.50,UE-6,gNB-1,gNB-3,-13.0,-98.2,
0.60,UE-4,gNB-4,gNB-1,-20.0,-105.1,
1.10,UE-3,gNB-1,gNB-2,-0.8,-85.9,
1.20,UE-4,gNB-1,gNB-3,-6.9,-93.3,
1.30,UE-6,gNB-3,gNB-2,-17.2,-103.4,
1.30,UE-7,gNB-1,gNB-3,-14.7,-97.3,
1.40,UE-8,gNB-3,gNB-2,3.8,-81.8,
1.60,UE-3,gNB-2,gNB-1,-17.8,-96.2,Ping-Pong
1.80,UE-4,gNB-3,gNB-1,-20.0,-101.9,Ping-Pong
1.80,UE-6,gNB-2,gNB-1,-10.5,-95.8,Ping-Pong
1.90,UE-7,gNB-3,gNB-4,-8.2,-94.0,Ping-Pong
1.90,UE-9,gNB-3,gNB-2,-8.1,-94.1,
2.00,UE-1,gNB-1,gNB-2,-13.9,-99.8,
2.00,UE-3,gNB-1,gNB-2,-15.9,-100.8,Ping-Pong
2.10,UE-4,gNB-1,gNB-2,-0.3,-86.6,Ping-Pong
2.10,UE-6,gNB-1,gNB-4,-15.0,-97.2,Ping-Pong
2.20,UE-11,gNB-3,gNB-4,-16.2,-96.8,
2.40,UE-10,gNB-3,gNB-4,-11.0,-92.5,
2.50,UE-2,gNB-1,gNB-2,-7.0,-91.3,
2.70,UE-6,gNB-4,gNB-2,-4.0,-89.2,Ping-Pong
2.70,UE-9,gNB-2,gNB-4,-0.4,-83.5,Ping-Pong
2.80,UE-8,gNB-2,gNB-4,-9.9,-94.4,Ping-Pong
2.90,UE-6,gNB-2,gNB-4,-15.0,-100.6,Ping-Pong
3.00,UE-5,gNB-1,gNB-2,-20.0,-104.5,
3.70,UE-6,gNB-4,gNB-2,-8.0,-93.3,Ping-Pong
3.90,UE-6,gNB-2,gNB-4,-13.5,-93.0,Ping-Pong
4.30,UE-4,gNB-2,gNB-4,7.8,-78.5,Ping-Pong
4.60,UE-4,gNB-4,gNB-2,-14.9,-96.5,Ping-Pong
4.60,UE-9,gNB-4,gNB-3,-8.2,-93.5,Ping-Pong
4.70,UE-1,gNB-2,gNB-1,-13.2,-98.5,Ping-Pong
4.70,UE-6,gNB-4,gNB-2,-14.4,-99.5,Ping-Pong
4.70,UE-11,gNB-4,gNB-3,-6.8,-90.7,Ping-Pong
4.80,UE-9,gNB-3,gNB-4,-12.3,-98.5,Ping-Pong
4.90,UE-1,gNB-1,gNB-2,-11.6,-98.0,Ping-Pong
5.00,UE-5,gNB-2,gNB-1,-20.0,-111.2,Ping-Pong
5.00,UE-6,gNB-2,gNB-1,-2.3,-87.9,Ping-Pong
5.00,UE-10,gNB-4,gNB-3,-11.6,-96.4,Ping-Pong
5.00,UE-11,gNB-3,gNB-4,0.1,-85.0,Ping-Pong
5.10,UE-7,gNB-4,gNB-3,-18.2,-100.9,Ping-Pong
5.20,UE-5,gNB-1,gNB-3,0.7,-84.2,Ping-Pong
5.20,UE-11,gNB-4,gNB-3,-7.0,-91.3,Ping-Pong
5.30,UE-1,gNB-2,gNB-1,-17.2,-93.4,Ping-Pong
5.30,UE-2,gNB-2,gNB-1,-15.6,-101.2,Ping-Pong
5.30,UE-6,gNB-1,gNB-2,-20.0,-107.8,Ping-Pong
5.30,UE-9,gNB-4,gNB-3,-11.3,-97.1,Ping-Pong
5.40,UE-3,gNB-2,gNB-1,-17.0,-99.9,Ping-Pong
5.50,UE-4,gNB-2,gNB-1,-2.8,-87.9,Ping-Pong
5.50,UE-9,gNB-3,gNB-4,-3.4,-84.7,Ping-Pong
5.60,UE-5,gNB-3,gNB-1,0.1,-83.0,Ping-Pong
5.80,UE-9,gNB-4,gNB-3,-20.0,-103.9,Ping-Pong
5.90,UE-8,gNB-4,gNB-3,-16.3,-98.7,Ping-Pong
6.00,UE-6,gNB-2,gNB-1,-10.0,-90.7,Ping-Pong
6.10,UE-7,gNB-3,gNB-1,2.3,-83.6,Ping-Pong
6.40,UE-7,gNB-1,gNB-3,-19.5,-94.6,Ping-Pong
6.60,UE-4,gNB-1,gNB-3,7.3,-78.4,Ping-Pong
6.80,UE-6,gNB-1,gNB-3,-19.1,-100.0,Ping-Pong
