time_stamp,gnb_id,UE-1 TP,UE-2 TP,UE-3 TP,UE-4 TP,UE-5 TP,UE-6 TP,UE-7 TP,UE-8 TP,UE-9 TP,UE-10 TP,UE-11 TP,Total_Throughput
21.20,gNB-1,20.00,40.00,,,2.00,0.00,,,,,,62.00
21.20,gNB-3,,,2.00,2.00,,,1.00,70.00,10.00,550.00,70.00,705.00
21.30,gNB-1,220.00,20.00,,,40.00,10.00,,,,,,290.00
21.30,gNB-3,,,2.00,10.00,,,20.00,5.00,10.00,10.00,40.00,97.00
21.40,gNB-1,20.00,20.00,,,40.00,40.00,,,,,,120.00
21.40,gNB-3,,,20.00,10.00,,,5.00,40.00,10.00,10.00,10.00,105.00
21.50,gNB-1,70.00,220.00,,,480.00,2.00,,,,,,772.00
21.50,gNB-3,,,20.00,40.00,,,20.00,280.00,20.00,70.00,20.00,470.00
21.60,gNB-1,350.00,20.00,,,20.00,40.00,,,,,,430.00
21.60,gNB-3,,,0.00,10.00,,,0.00,5.00,110.00,10.00,110.00,245.00
21.70,gNB-1,40.00,70.00,,,1.00,0.00,,,,,,111.00
21.70,gNB-3,,,160.00,0.00,,,0.00,10.00,40.00,10.00,70.00,290.00
21.80,gNB-1,70.00,70.00,,,1.00,1.00,,,,,,142.00
21.80,gNB-3,,,20.00,5.00,,,10.00,20.00,40.00,20.00,20.00,135.00
21.90,gNB-1,160.00,160.00,,,1.00,5.00,,,,,,326.00
21.90,gNB-3,,,1.00,2.00,,,70.00,70.00,40.00,20.00,40.00,243.00
22.00,gNB-1,28.00,28.00,,,7.00,0.00,,,,,,63.00
22.00,gNB-3,,,0.70,49.00,,,3.50,0.00,0.70,0.00,1.40,55.30
22.10,gNB-1,10.00,10.00,,,0.00,0.00,,,,,,20.00
22.10,gNB-3,,,20.00,1.00,,,0.00,1.00,10.00,2.00,40.00,74.00
22.20,gNB-1,0.00,1.00,,,1.00,1.00,,,,,,3.00
22.20,gNB-3,,,0.00,20.00,,,5.00,2.00,0.00,2.00,0.00,29.00
22.30,gNB-1,220.00,0.00,,,0.00,5.00,,,,,,225.00
22.30,gNB-3,,,2.00,2.00,,,220.00,0.00,5.00,1.00,5.00,235.00
22.40,gNB-1,2.00,2.00,,,10.00,0.00,,,,,,14.00
22.40,gNB-3,,,0.00,0.00,,,1.00,0.00,5.00,2.00,20.00,28.00
22.50,gNB-1,5.00,1.00,,,5.00,0.00,,,,,,11.00
22.50,gNB-3,,,0.00,0.00,,,1.00,0.00,10.00,1.00,40.00,52.00
22.60,gNB-1,1.00,10.00,,,1.00,0.00,,,,,,12.00
22.60,gNB-3,,,1.00,20.00,,,0.00,0.00,2.00,5.00,1.00,29.00
22.70,gNB-1,20.00,1.00,,,0.00,0.00,,,,,,21.00
22.70,gNB-3,,,0.00,1.00,,,0.00,1.00,2.00,5.00,0.00,9.00
22.80,gNB-1,0.00,2.00,,,1.00,5.00,,,,,,8.00
22.80,gNB-3,,,5.00,1.00,,,0.00,2.00,2.00,0.00,2.00,12.00
22.90,gNB-1,2.00,10.00,,,1.00,0.00,,,,,,13.00
22.90,gNB-3,,,0.00,0.00,,,160.00,1.00,5.00,0.00,1.00,167.00
23.00,gNB-1,0.70,0.00,,,0.00,0.00,,,,,,0.70
23.00,gNB-3,,,0.00,0.00,,,0.00,0.70,0.70,294.00,0.00,295.40
23.10,gNB-1,0.00,0.00,,,0.00,0.00,,,,,,0.00
23.10,gNB-3,,,0.00,1.00,,,0.00,0.00,0.00,0.00,0.00,1.00
23.20,gNB-1,0.00,0.00,,,1.00,0.00,,,,,,1.00
23.20,gNB-3,,,20.00,0.00,,,1.00,0.00,2.00,0.00,0.00,23.00
23.30,gNB-1,70.00,0.00,,,2.00,0.00,,,,,,72.00
23.30,gNB-3,,,5.00,0.00,,,0.00,0.00,1.00,0.00,0.00,6.00
23.40,gNB-1,5.00,10.00,,,1.00,1.00,,,,,,17.00
23.40,gNB-3,,,10.00,5.00,,,0.00,0.00,70.00,0.00,1.00,86.00
23.50,gNB-1,5.00,2.00,,,0.00,0.00,,,,,,7.00
23.50,gNB-3,,,10.00,20.00,,,10.00,0.00,1.00,5.00,5.00,51.00
23.60,gNB-1,0.00,2.00,,,0.00,0.00,,,,,,2.00
23.60,gNB-3,,,5.00,0.00,,,0.00,2.00,20.00,0.00,5.00,32.00
23.70,gNB-1,2.00,1.00,,,2.00,0.00,,,,,,5.00
23.70,gNB-3,,,2.00,0.00,,,0.00,0.00,1.00,1.00,1.00,5.00
23.80,gNB-1,10.00,5.00,,,1.00,0.00,,,,,,16.00
23.80,gNB-3,,,1.00,40.00,,,1.00,20.00,0.00,2.00,5.00,69.00
23.90,gNB-1,5.00,20.00,,,0.00,1.00,,,,,,26.00
23.90,gNB-3,,,0.00,40.00,,,0.00,20.00,2.00,10.00,10.00,82.00
24.00,gNB-1,77.00,49.00,,,28.00,7.00,,,,,,161.00
24.00,gNB-3,,,28.00,0.00,,,0.00,1.40,14.00,7.00,3.50,53.90
24.10,gNB-1,10.00,20.00,,,1.00,2.00,,,,,,33.00
24.10,gNB-3,,,70.00,0.00,,,2.00,2.00,20.00,70.00,220.00,384.00
24.20,gNB-1,40.00,70.00,,,10.00,1.00,,,,,,121.00
24.20,gNB-3,,,70.00,0.00,,,10.00,70.00,5.00,20.00,220.00,395.00
24.30,gNB-1,2.00,70.00,,,20.00,5.00,,,,,,97.00
24.30,gNB-3,,,160.00,0.00,,,0.00,480.00,2.00,40.00,160.00,842.00
24.40,gNB-1,110.00,40.00,,,1.00,1.00,,,,,,152.00
24.40,gNB-3,,,110.00,0.00,,,5.00,2.00,220.00,70.00,220.00,627.00
24.50,gNB-1,550.00,70.00,,,10.00,1.00,,,,,,631.00
24.50,gNB-3,,,40.00,0.00,,,0.00,1.00,5.00,2.00,70.00,118.00
24.60,gNB-1,220.00,160.00,,,0.00,1.00,,,,,,381.00
24.60,gNB-3,,,220.00,10.00,,,0.00,1.00,2.00,70.00,10.00,313.00
24.70,gNB-1,5.00,110.00,,,550.00,0.00,,,,,,665.00
24.70,gNB-3,,,5.00,10.00,,,0.00,2.00,20.00,10.00,40.00,87.00
24.80,gNB-1,5.00,280.00,,,1.00,40.00,,,,,,326.00
24.80,gNB-3,,,40.00,40.00,,,20.00,20.00,10.00,40.00,2.00,172.00
24.90,gNB-1,70.00,110.00,,,40.00,10.00,,,,,,230.00
24.90,gNB-3,,,10.00,0.00,,,1.00,40.00,40.00,70.00,110.00,271.00
25.00,gNB-1,14.00,14.00,,,1.40,3.50,,,,,,32.90
25.00,gNB-3,,,1.40,7.00,,,0.00,3.50,0.00,7.00,7.00,25.90
25.10,gNB-1,2.00,1.00,,,0.00,2.00,,,,,,5.00
25.10,gNB-3,,,10.00,0.00,,,5.00,0.00,20.00,0.00,10.00,45.00
25.20,gNB-1,0.00,0.00,,,5.00,0.00,,,,,,5.00
25.20,gNB-3,,,1.00,10.00,,,5.00,2.00,2.00,1.00,10.00,31.00
25.30,gNB-1,5.00,1.00,,,0.00,5.00,,,,,,11.00
25.30,gNB-3,,,1.00,1.00,,,0.00,1.00,10.00,10.00,1.00,24.00
25.40,gNB-1,0.00,5.00,,,2.00,0.00,,,,,,7.00
25.40,gNB-3,,,2.00,1.00,,,1.00,0.00,2.00,20.00,10.00,36.00
25.50,gNB-1,0.00,2.00,,,2.00,0.00,,,,,,4.00
25.50,gNB-3,,,10.00,0.00,,,2.00,1.00,2.00,0.00,5.00,20.00
25.60,gNB-1,0.00,1.00,,,0.00,0.00,,,,,,1.00
25.60,gNB-3,,,0.00,0.00,,,1.00,0.00,1.00,220.00,5.00,227.00
25.70,gNB-1,1.00,0.00,,,2.00,0.00,,,,,,3.00
25.70,gNB-3,,,40.00,10.00,,,0.00,5.00,2.00,10.00,1.00,68.00
25.80,gNB-1,1.00,10.00,,,1.00,0.00,,,,,,12.00
25.80,gNB-3,,,10.00,2.00,,,2.00,0.00,5.00,20.00,5.00,44.00
25.90,gNB-1,5.00,2.00,,,1.00,1.00,,,,,,9.00
25.90,gNB-3,,,2.00,10.00,,,0.00,2.00,5.00,110.00,2.00,131.00
26.00,gNB-1,0.00,0.00,,,0.00,0.00,,,,,,0.00
26.00,gNB-3,,,0.70,1.40,,,0.00,0.00,0.00,0.00,7.00,9.10
26.10,gNB-1,0.00,0.00,,,0.00,0.00,,,,,,0.00
26.10,gNB-3,,,0.00,0.00,,,0.00,2.00,1.00,0.00,2.00,5.00
26.20,gNB-1,0.00,2.00,,,1.00,1.00,,,,,,4.00
26.20,gNB-3,,,1.00,0.00,,,0.00,0.00,2.00,0.00,0.00,3.00
26.30,gNB-1,40.00,0.00,,,0.00,0.00,,,,,,40.00
26.30,gNB-3,,,0.00,1.00,,,1.00,0.00,1.00,1.00,70.00,74.00
26.40,gNB-1,70.00,0.00,,,1.00,0.00,,,,,,71.00
26.40,gNB-3,,,0.00,0.00,,,0.00,0.00,5.00,2.00,5.00,12.00
26.50,gNB-1,2.00,0.00,,,0.00,0.00,,,,,,2.00
26.50,gNB-3,,,0.00,0.00,,,1.00,0.00,0.00,1.00,0.00,2.00
26.60,gNB-1,5.00,0.00,,,10.00,0.00,,,,,,15.00
26.60,gNB-3,,,2.00,0.00,,,2.00,1.00,5.00,0.00,0.00,10.00
26.70,gNB-1,70.00,0.00,,,0.00,0.00,,,,,,70.00
26.70,gNB-3,,,0.00,0.00,,,2.00,0.00,1.00,5.00,0.00,8.00
26.80,gNB-1,0.00,0.00,,,5.00,5.00,,,,,,10.00
26.80,gNB-3,,,1.00,0.00,,,10.00,0.00,10.00,1.00,0.00,22.00
26.90,gNB-1,0.00,0.00,,,0.00,5.00,,,,,,5.00
26.90,gNB-3,,,1.00,0.00,,,1.00,1.00,0.00,1.00,2.00,6.00
27.00,gNB-1,0.00,0.00,,,0.70,0.00,,,,,,0.70
27.00,gNB-3,,,1.40,0.00,,,385.00,0.00,1.40,14.00,7.00,408.80
27.10,gNB-1,0.00,0.00,,,70.00,0.00,,,,,,70.00
27.10,gNB-3,,,110.00,1.00,,,0.00,0.00,70.00,70.00,110.00,361.00
27.20,gNB-1,110.00,160.00,,,1.00,0.00,,,,,,271.00
27.20,gNB-3,,,10.00,10.00,,,1.00,10.00,1.00,220.00,20.00,272.00
27.30,gNB-1,40.00,2.00,,,10.00,5.00,,,,,,57.00
27.30,gNB-3,,,70.00,20.00,,,5.00,1.00,2.00,5.00,350.00,453.00
27.40,gNB-1,160.00,10.00,,,5.00,0.00,,,,,,175.00
27.40,gNB-3,,,70.00,70.00,,,0.00,40.00,2.00,70.00,2.00,254.00
27.50,gNB-1,20.00,160.00,,,10.00,2.00,,,,,,192.00
27.50,gNB-3,,,2.00,2.00,,,5.00,0.00,70.00,40.00,220.00,339.00
27.60,gNB-1,40.00,5.00,,,40.00,5.00,,,,,,90.00
27.60,gNB-3,,,10.00,20.00,,,2.00,0.00,70.00,160.00,220.00,482.00
27.70,gNB-1,40.00,220.00,,,5.00,0.00,,,,,,265.00
27.70,gNB-3,,,20.00,110.00,,,70.00,0.00,10.00,10.00,20.00,240.00
27.80,gNB-1,1.00,20.00,,,20.00,1.00,,,,,,42.00
27.80,gNB-3,,,10.00,5.00,,,0.00,70.00,5.00,10.00,40.00,140.00
27.90,gNB-1,2.00,10.00,,,5.00,70.00,,,,,,87.00
27.90,gNB-3,,,0.00,5.00,,,1.00,0.00,1.00,70.00,160.00,237.00
28.00,gNB-1,1.40,7.00,,,0.00,3.50,,,,,,11.90
28.00,gNB-3,,,7.00,3.50,,,3.50,0.00,0.00,0.00,0.70,14.70
28.10,gNB-1,5.00,0.00,,,2.00,0.00,,,,,,7.00
28.10,gNB-3,,,10.00,2.00,,,1.00,10.00,0.00,40.00,0.00,63.00
28.20,gNB-1,2.00,1.00,,,0.00,0.00,,,,,,3.00
28.20,gNB-3,,,2.00,0.00,,,0.00,2.00,0.00,5.00,1.00,10.00
28.30,gNB-1,5.00,10.00,,,0.00,10.00,,,,,,25.00
28.30,gNB-3,,,2.00,2.00,,,0.00,0.00,0.00,2.00,2.00,8.00
28.40,gNB-1,2.00,10.00,,,0.00,0.00,,,,,,12.00
28.40,gNB-3,,,1.00,0.00,,,0.00,1.00,2.00,5.00,40.00,49.00
28.50,gNB-1,2.00,1.00,,,1.00,1.00,,,,,,5.00
28.50,gNB-3,,,5.00,0.00,,,0.00,0.00,20.00,2.00,5.00,32.00
28.60,gNB-1,0.00,0.00,,,5.00,0.00,,,,,,5.00
28.60,gNB-3,,,20.00,5.00,,,1.00,2.00,1.00,70.00,160.00,259.00
28.70,gNB-1,10.00,0.00,,,0.00,1.00,,,,,,11.00
28.70,gNB-3,,,2.00,1.00,,,0.00,0.00,0.00,5.00,10.00,18.00
28.80,gNB-1,0.00,10.00,,,0.00,10.00,,,,,,20.00
28.80,gNB-3,,,5.00,2.00,,,0.00,0.00,1.00,160.00,40.00,208.00
28.90,gNB-1,2.00,1.00,,,0.00,2.00,,,,,,5.00
28.90,gNB-3,,,10.00,0.00,,,0.00,1.00,20.00,10.00,1.00,42.00
29.00,gNB-1,0.00,0.70,,,3.50,0.00,,,,,,4.20
29.00,gNB-3,,,0.00,1.40,,,0.70,0.70,0.00,0.00,0.00,2.80
29.10,gNB-1,20.00,0.00,,,0.00,0.00,,,,,,20.00
29.10,gNB-3,,,1.00,1.00,,,1.00,0.00,1.00,0.00,0.00,4.00
29.20,gNB-1,1.00,1.00,,,0.00,0.00,,,,,,2.00
29.20,gNB-3,,,0.00,0.00,,,0.00,1.00,5.00,0.00,0.00,6.00
29.30,gNB-1,1.00,1.00,,,0.00,0.00,,,,,,2.00
29.30,gNB-3,,,0.00,5.00,,,0.00,1.00,2.00,1.00,280.00,289.00
29.40,gNB-1,2.00,5.00,,,0.00,0.00,,,,,,7.00
29.40,gNB-3,,,0.00,2.00,,,2.00,0.00,10.00,0.00,0.00,14.00
29.50,gNB-1,0.00,20.00,,,0.00,1.00,,,,,,21.00
29.50,gNB-3,,,0.00,10.00,,,2.00,2.00,0.00,0.00,0.00,14.00
29.60,gNB-1,2.00,0.00,,,1.00,0.00,,,,,,3.00
29.60,gNB-3,,,1.00,0.00,,,5.00,1.00,2.00,1.00,0.00,10.00
29.70,gNB-1,110.00,1.00,,,1.00,1.00,,,,,,113.00
29.70,gNB-3,,,10.00,0.00,,,1.00,2.00,2.00,20.00,0.00,35.00
29.80,gNB-1,40.00,0.00,,,0.00,0.00,,,,,,40.00
29.80,gNB-3,,,10.00,1.00,,,0.00,2.00,2.00,10.00,0.00,25.00
29.90,gNB-1,10.00,10.00,,,10.00,0.00,,,,,,30.00
29.90,gNB-3,,,2.00,10.00,,,0.00,5.00,20.00,5.00,0.00,42.00
30.00,gNB-1,154.00,14.00,,,0.00,7.00,,,,,,175.00
30.00,gNB-3,,,7.00,1.40,,,0.00,14.00,77.00,112.00,0.00,211.40
30.10,gNB-1,70.00,220.00,,,110.00,1.00,,,,,,401.00
30.10,gNB-3,,,2.00,10.00,,,1.00,110.00,1.00,10.00,0.00,134.00
30.20,gNB-1,350.00,220.00,,,5.00,2.00,,,,,,577.00
