Timestamp(s),UE_ID,Serving_gNB,Target_gNB,Serving_SINR(dB),RSRP(dBm),Remarks
0.20,UE-1,gNB-2,gNB-1,-20.0,-93.8,
0.20,UE-2,gNB-4,gNB-1,-20.0,-97.8,
0.20,UE-3,gNB-4,gNB-1,-20.0,-88.5,
0.20,UE-4,gNB-2,gNB-3,-20.0,-90.6,
0.20,UE-5,gNB-2,gNB-3,-17.9,-84.6,
0.20,UE-7,gNB-3,gNB-1,-20.0,-92.2,
0.20,UE-8,gNB-1,gNB-2,-20.0,-101.7,
0.20,UE-10,gNB-4,gNB-1,-20.0,-105.5,
0.20,UE-11,gNB-4,gNB-2,-14.1,-96.8,
0.30,UE-9,gNB-2,gNB-3,-20.0,-101.3,
0.70,UE-9,gNB-3,gNB-1,2.0,-76.6,
1.00,UE-9,gNB-1,gNB-3,8.1,-70.9,Ping-Pong
1.10,UE-4,gNB-3,gNB-4,-3.0,-84.6,
1.10,UE-8,gNB-2,gNB-4,0.0,-78.5,
1.20,UE-9,gNB-3,gNB-1,-7.2,-83.1,Ping-Pong
1.30,UE-8,gNB-4,gNB-2,3.4,-75.5,Ping-Pong
1.40,UE-3,gNB-1,gNB-2,4.3,-74.9,
1.50,UE-5,gNB-3,gNB-4,4.6,-74.8,
1.70,UE-4,gNB-4,gNB-3,1.5,-82.5,Ping-Pong
1.80,UE-3,gNB-2,gNB-1,-15.4,-86.0,Ping-Pong
1.90,UE-8,gNB-2,gNB-4,6.1,-79.2,Ping-Pong
2.00,UE-1,gNB-1,gNB-2,-20.0,-82.5,
2.00,UE-4,gNB-3,gNB-4,-20.0,-83.8,Ping-Pong
2.00,UE-9,gNB-1,gNB-3,13.0,-65.3,Ping-Pong
2.10,UE-2,gNB-1,gNB-2,-20.0,-92.3,
2.10,UE-3,gNB-1,gNB-2,-20.0,-85.1,Ping-Pong
2.10,UE-6,gNB-3,gNB-4,-20.0,-86.0,
2.30,UE-9,gNB-3,gNB-1,9.6,-70.4,Ping-Pong
2.50,UE-8,gNB-4,gNB-2,4.8,-79.6,Ping-Pong
2.70,UE-8,gNB-2,gNB-4,-10.8,-85.2,Ping-Pong
3.10,UE-11,gNB-2,gNB-1,-11.7,-83.1,
3.70,UE-11,gNB-1,gNB-2,-18.0,-85.4,Ping-Pong
5.10,UE-3,gNB-2,gNB-1,-0.0,-80.4,Ping-Pong
5.30,UE-5,gNB-4,gNB-3,26.8,-55.6,Ping-Pong
5.40,UE-4,gNB-4,gNB-3,-4.4,-82.8,Ping-Pong
5.60,UE-2,gNB-2,gNB-1,0.4,-71.0,Ping-Pong
5.70,UE-3,gNB-1,gNB-2,-3.7,-86.0,Ping-Pong
5.70,UE-6,gNB-4,gNB-3,-20.0,-91.0,
5.80,UE-5,gNB-3,gNB-4,-20.0,-72.8,Ping-Pong
6.10,UE-1,gNB-2,gNB-1,-20.0,-89.9,Ping-Pong
6.10,UE-3,gNB-2,gNB-1,-20.0,-100.8,Ping-Pong
6.10,UE-5,gNB-4,gNB-3,-20.0,-92.5,Ping-Pong
7.30,UE-2,gNB-1,gNB-2,-4.0,-82.7,Ping-Pong
7.50,UE-2,gNB-2,gNB-1,-2.1,-78.1,Ping-Pong
7.50,UE-4,gNB-3,gNB-4,-10.3,-91.0,Ping-Pong
7.60,UE-1,gNB-1,gNB-2,3.4,-80.7,Ping-Pong
7.70,UE-4,gNB-4,gNB-3,-3.6,-79.2,Ping-Pong
8.00,UE-3,gNB-1,gNB-2,-20.0,-93.4,Ping-Pong
8.00,UE-4,gNB-3,gNB-4,-20.0,-95.1,Ping-Pong
8.10,UE-2,gNB-1,gNB-2,-20.0,-86.4,Ping-Pong
8.10,UE-5,gNB-3,gNB-4,-20.0,-88.0,Ping-Pong
8.10,UE-6,gNB-3,gNB-4,-20.0,-95.8,Ping-Pong
8.30,UE-11,gNB-2,gNB-4,27.4,-51.1,Ping-Pong
8.50,UE-11,gNB-4,gNB-2,-14.4,-95.7,Ping-Pong
9.00,UE-7,gNB-1,gNB-2,6.5,-77.3,
9.40,UE-7,gNB-2,gNB-1,-3.0,-85.0,Ping-Pong
10.30,UE-11,gNB-2,gNB-4,1.0,-78.4,Ping-Pong
10.70,UE-8,gNB-4,gNB-3,-2.8,-84.3,Ping-Pong
