UE_ID,x,y,t
UE-1,150,150,0.0
UE-2,150,150,0.0
UE-3,150,150,0.0
UE-1,317,150,1.0
UE-2,317,150,1.0
UE-3,317,150,1.0
UE-1,484,150,2.0
UE-2,484,150,2.0
UE-3,484,150,2.0
UE-1,650,150,3.0
UE-2,650,150,3.0
UE-3,650,150,3.0
UE-1,483,150,4.0
UE-2,483,150,4.0
UE-3,483,150,4.0
UE-1,316,150,5.0
UE-2,316,150,5.0
UE-3,316,150,5.0
UE-1,150,150,6.0
UE-2,150,150,6.0
UE-3,150,150,6.0
UE-1,317,150,7.0
UE-2,317,150,7.0
UE-3,317,150,7.0
UE-1,484,150,8.0
UE-2,484,150,8.0
UE-3,484,150,8.0
UE-1,650,150,9.0
UE-2,650,150,9.0
UE-3,650,150,9.0
UE-1,483,150,10.0
UE-2,483,150,10.0
UE-3,483,150,10.0
UE-1,316,150,11.0
UE-2,316,150,11.0
UE-3,316,150,11.0
UE-1,150,150,12.0
UE-2,150,150,12.0
UE-3,150,150,12.0
UE-1,317,150,13.0
UE-2,317,150,13.0
UE-3,317,150,13.0
UE-1,484,150,14.0
UE-2,484,150,14.0
UE-3,484,150,14.0
UE-1,650,150,15.0
UE-2,650,150,15.0
UE-3,650,150,15.0
UE-1,483,150,16.0
UE-2,483,150,16.0
UE-3,483,150,16.0
UE-1,316,150,17.0
UE-2,316,150,17.0
UE-3,316,150,17.0
UE-1,150,150,18.0
UE-2,150,150,18.0
UE-3,150,150,18.0
UE-1,317,150,19.0
UE-2,317,150,19.0
UE-3,317,150,19.0
UE-1,484,150,20.0
UE-2,484,150,20.0
UE-3,484,150,20.0
UE-1,650,150,21.0
UE-2,650,150,21.0
UE-3,650,150,21.0
UE-1,483,150,22.0
UE-2,483,150,22.0
UE-3,483,150,22.0
UE-1,316,150,23.0
UE-2,316,150,23.0
UE-3,316,150,23.0
UE-1,150,150,24.0
UE-2,150,150,24.0
UE-3,150,150,24.0
UE-1,317,150,25.0
UE-2,317,150,25.0
UE-3,317,150,25.0
UE-1,484,150,26.0
UE-2,484,150,26.0
UE-3,484,150,26.0
UE-1,650,150,27.0
UE-2,650,150,27.0
UE-3,650,150,27.0
UE-1,483,150,28.0
UE-2,483,150,28.0
UE-3,483,150,28.0
UE-1,316,150,29.0
UE-2,316,150,29.0
UE-3,316,150,29.0
UE-1,150,150,30.0
UE-2,150,150,30.0
UE-3,150,150,30.0
UE-4,150,450,0.0
UE-5,150,450,0.0
UE-6,150,450,0.0
UE-4,317,450,1.0
UE-5,317,450,1.0
UE-6,317,450,1.0
UE-4,484,450,2.0
UE-5,484,450,2.0
UE-6,484,450,2.0
UE-4,650,450,3.0
UE-5,650,450,3.0
UE-6,650,450,3.0
UE-4,483,450,4.0
UE-5,483,450,4.0
UE-6,483,450,4.0
UE-4,316,450,5.0
UE-5,316,450,5.0
UE-6,316,450,5.0
UE-4,150,450,6.0
