UE_ID,x,y,t
UE-1,150,50,0
UE-2,150,100,0
UE-3,150,150,0
UE-4,150,200,0
UE-5,150,250,0
UE-6,150,300,0
UE-7,150,350,0
UE-8,150,400,0
UE-9,150,450,0
UE-10,150,500,0
UE-11,150,550,0
UE-1,317,50,1
UE-2,317,100,1
UE-3,317,150,1
UE-4,317,200,1
UE-5,317,250,1
UE-6,317,300,1
UE-7,317,350,1
UE-8,317,400,1
UE-9,317,450,1
UE-10,317,500,1
UE-11,317,550,1
UE-1,484,50,2
UE-2,484,100,2
UE-3,484,150,2
UE-4,484,200,2
UE-5,484,250,2
UE-6,484,300,2
UE-7,484,350,2
UE-8,484,400,2
UE-9,484,450,2
UE-10,484,500,2
UE-11,484,550,2
UE-1,650,50,3
UE-2,650,100,3
UE-3,650,150,3
UE-4,650,200,3
UE-5,650,250,3
UE-6,650,300,3
UE-7,650,350,3
UE-8,650,400,3
UE-9,650,450,3
UE-10,650,500,3
UE-11,650,550,3
UE-1,483,50,4
UE-2,483,100,4
UE-3,483,150,4
UE-4,483,200,4
UE-5,483,250,4
UE-6,483,300,4
UE-7,483,350,4
UE-8,483,400,4
UE-9,483,450,4
UE-10,483,500,4
UE-11,483,550,4
UE-1,316,50,5
UE-2,316,100,5
UE-3,316,150,5
UE-4,316,200,5
UE-5,316,250,5
UE-6,316,300,5
UE-7,316,350,5
UE-8,316,400,5
UE-9,316,450,5
UE-10,316,500,5
UE-11,316,550,5
UE-1,150,50,6
UE-2,150,100,6
UE-3,150,150,6
UE-4,150,200,6
UE-5,150,250,6
UE-6,150,300,6
UE-7,150,350,6
UE-8,150,400,6
UE-9,150,450,6
UE-10,150,500,6
UE-11,150,550,6
UE-1,317,50,7
UE-2,317,100,7
UE-3,317,150,7
UE-4,317,200,7
UE-5,317,250,7
UE-6,317,300,7
UE-7,317,350,7
UE-8,317,400,7
UE-9,317,450,7
UE-10,317,500,7
UE-11,317,550,7
UE-1,484,50,8
UE-2,484,100,8
UE-3,484,150,8
UE-4,484,200,8
UE-5,484,250,8
UE-6,484,300,8
UE-7,484,350,8
UE-8,484,400,8
UE-9,484,450,8
UE-10,484,500,8
UE-11,484,550,8
UE-1,650,50,9
UE-2,650,100,9
UE-3,650,150,9
UE-4,650,200,9
UE-5,650,250,9
UE-6,650,300,9
UE-7,650,350,9
UE-8,650,400,9
UE-9,650,450,9
UE-10,650,500,9
UE-11,650,550,9
UE-1,483,50,10
UE-2,483,100,10
UE-3,483,150,10
UE-4,483,200,10
UE-5,483,250,10
UE-6,483,300,10
UE-7,483,350,10
UE-8,483,400,10
UE-9,483,450,10
UE-10,483,500,10
UE-11,483,550,10
UE-1,316,50,11
UE-2,316,100,11
UE-3,316,150,11
UE-4,316,200,11
UE-5,316,250,11
UE-6,316,300,11
UE-7,316,350,11
UE-8,316,400,11
UE-9,316,450,11
UE-10,316,500,11
UE-11,316,550,11
UE-1,150,50,12
UE-2,150,100,12
UE-3,150,150,12
UE-4,150,200,12
UE-5,150,250,12
UE-6,150,300,12
UE-7,150,350,12
UE-8,150,400,12
UE-9,150,450,12
UE-10,150,500,12
UE-11,150,550,12
UE-1,317,50,13
UE-2,317,100,13
UE-3,317,150,13
UE-4,317,200,13
UE-5,317,250,13
UE-6,317,300,13
UE-7,317,350,13
UE-8,317,400,13
UE-9,317,450,13
UE-10,317,500,13
UE-11,317,550,13
UE-1,484,50,14
UE-2,484,100,14
UE-3,484,150,14
UE-4,484,200,14
UE-5,484,250,14
UE-6,484,300,14
UE-7,484,350,14
UE-8,484,400,14
UE-9,484,450,14
UE-10,484,500,14
UE-11,484,550,14
UE-1,650,50,15
UE-2,650,100,15
UE-3,650,150,15
UE-4,650,200,15
UE-5,650,250,15
UE-6,650,300,15
UE-7,650,350,15
UE-8,650,400,15
UE-9,650,450,15
UE-10,650,500,15
UE-11,650,550,15
UE-1,483,50,16
UE-2,483,100,16
UE-3,483,150,16
UE-4,483,200,16
UE-5,483,250,16
UE-6,483,300,16
UE-7,483,350,16
UE-8,483,400,16
UE-9,483,450,16
UE-10,483,500,16
UE-11,483,550,16
UE-1,316,50,17
UE-2,316,100,17
UE-3,316,150,17
UE-4,316,200,17
UE-5,316,250,17
UE-6,316,300,17
UE-7,316,350,17
UE-8,316,400,17
UE-9,316,450,17
UE-10,316,500,17
UE-11,316,550,17
UE-1,150,50,18
UE-2,150,100,18
UE-3,150,150,18
UE-4,150,200,18
UE-5,150,250,18
UE-6,150,300,18
UE-7,150,350,18
UE-8,150,400,18
UE-9,150,450,18
UE-10,150,500,18
UE-11,150,550,18
UE-1,317,50,19
UE-2,317,100,19
UE-3,317,150,19
UE-4,317,200,19
UE-5,317,250,19
UE-6,317,300,19
UE-7,317,350,19
UE-8,317,400,19
UE-9,317,450,19
UE-10,317,500,19
UE-11,317,550,19
UE-1,484,50,20
UE-2,484,100,20
UE-3,484,150,20
UE-4,484,200,20
UE-5,484,250,20
UE-6,484,300,20
UE-7,484,350,20
UE-8,484,400,20
UE-9,484,450,20
UE-10,484,500,20
UE-11,484,550,20
UE-1,650,50,21
UE-2,650,100,21
UE-3,650,150,21
UE-4,650,200,21
UE-5,650,250,21
UE-6,650,300,21
UE-7,650,350,21
UE-8,650,400,21
UE-9,650,450,21
UE-10,650,500,21
UE-11,650,550,21
UE-1,483,50,22
UE-2,483,100,22
UE-3,483,150,22
UE-4,483,200,22
UE-5,483,250,22
UE-6,483,300,22
UE-7,483,350,22
UE-8,483,400,22
UE-9,483,450,22
UE-10,483,500,22
UE-11,483,550,22
UE-1,316,50,23
UE-2,316,100,23
UE-3,316,150,23
UE-4,316,200,23
UE-5,316,250,23
UE-6,316,300,23
UE-7,316,350,23
UE-8,316,400,23
UE-9,316,450,23
UE-10,316,500,23
UE-11,316,550,23
UE-1,150,50,24
UE-2,150,100,24
UE-3,150,150,24
UE-4,150,200,24
UE-5,150,250,24
UE-6,150,300,24
UE-7,150,350,24
UE-8,150,400,24
UE-9,150,450,24
UE-10,150,500,24
UE-11,150,550,24
UE-1,317,50,25
UE-2,317,100,25
UE-3,317,150,25
UE-4,317,200,25
UE-5,317,250,25
UE-6,317,300,25
UE-7,317,350,25
UE-8,317,400,25
UE-9,317,450,25
UE-10,317,500,25
UE-11,317,550,25
UE-1,484,50,26
UE-2,484,100,26
UE-3,484,150,26
UE-4,484,200,26
UE-5,484,250,26
UE-6,484,300,26
UE-7,484,350,26
UE-8,484,400,26
UE-9,484,450,26
UE-10,484,500,26
UE-11,484,550,26
UE-1,650,50,27
UE-2,650,100,27
UE-3,650,150,27
UE-4,650,200,27
UE-5,650,250,27
UE-6,650,300,27
UE-7,650,350,27
UE-8,650,400,27
UE-9,650,450,27
UE-10,650,500,27
UE-11,650,550,27
UE-1,483,50,28
UE-2,483,100,28
UE-3,483,150,28
UE-4,483,200,28
UE-5,483,250,28
UE-6,483,300,28
UE-7,483,350,28
UE-8,483,400,28
UE-9,483,450,28
UE-10,483,500,28
UE-11,483,550,28
UE-1,316,50,29
UE-2,316,100,29
UE-3,316,150,29
UE-4,316,200,29
UE-5,316,250,29
UE-6,316,300,29
UE-7,316,350,29
UE-8,316,400,29
UE-9,316,450,29
UE-10,316,500,29
UE-11,316,550,29
UE-1,150,50,30
UE-2,150,100,30
UE-3,150,150,30
UE-4,150,200,30
UE-5,150,250,30
UE-6,150,300,30
UE-7,150,350,30
UE-8,150,400,30
UE-9,150,450,30
UE-10,150,500,30
UE-11,150,550,30
UE-1,317,50,31
UE-2,317,100,31
UE-3,317,150,31
UE-4,317,200,31
UE-5,317,250,31
UE-6,317,300,31
UE-7,317,350,31
UE-8,317,400,31
UE-9,317,450,31
UE-10,317,500,31
UE-11,317,550,31
UE-1,484,50,32
UE-2,484,100,32
UE-3,484,150,32
UE-4,484,200,32
UE-5,484,250,32
UE-6,484,300,32
UE-7,484,350,32
UE-8,484,400,32
UE-9,484,450,32
UE-10,484,500,32
UE-11,484,550,32
UE-1,650,50,33
UE-2,650,100,33
UE-3,650,150,33
UE-4,650,200,33
UE-5,650,250,33
UE-6,650,300,33
UE-7,650,350,33
UE-8,650,400,33
UE-9,650,450,33
UE-10,650,500,33
UE-11,650,550,33
UE-1,483,50,34
UE-2,483,100,34
UE-3,483,150,34
UE-4,483,200,34
UE-5,483,250,34
UE-6,483,300,34
UE-7,483,350,34
UE-8,483,400,34
UE-9,483,450,34
UE-10,483,500,34
UE-11,483,550,34
UE-1,316,50,35
UE-2,316,100,35
UE-3,316,150,35
UE-4,316,200,35
UE-5,316,250,35
UE-6,316,300,35
UE-7,316,350,35
UE-8,316,400,35
UE-9,316,450,35
UE-10,316,500,35
UE-11,316,550,35
UE-1,150,50,36
UE-2,150,100,36
UE-3,150,150,36
UE-4,150,200,36
UE-5,150,250,36
UE-6,150,300,36
UE-7,150,350,36
UE-8,150,400,36
UE-9,150,450,36
UE-10,150,500,36
UE-11,150,550,36
UE-1,317,50,37
UE-2,317,100,37
UE-3,317,150,37
UE-4,317,200,37
UE-5,317,250,37
UE-6,317,300,37
UE-7,317,350,37
UE-8,317,400,37
UE-9,317,450,37
UE-10,317,500,37
UE-11,317,550,37
UE-1,484,50,38
UE-2,484,100,38
UE-3,484,150,38
UE-4,484,200,38
UE-5,484,250,38
UE-6,484,300,38
UE-7,484,350,38
UE-8,484,400,38
UE-9,484,450,38
UE-10,484,500,38
UE-11,484,550,38
UE-1,650,50,39
UE-2,650,100,39
UE-3,650,150,39
UE-4,650,200,39
UE-5,650,250,39
UE-6,650,300,39
UE-7,650,350,39
UE-8,650,400,39
UE-9,650,450,39
UE-10,650,500,39
UE-11,650,550,39
UE-1,483,50,40
UE-2,483,100,40
UE-3,483,150,40
UE-4,483,200,40
UE-5,483,250,40
UE-6,483,300,40
UE-7,483,350,40
UE-8,483,400,40
UE-9,483,450,40
UE-10,483,500,40
UE-11,483,550,40
UE-1,316,50,41
UE-2,316,100,41
UE-3,316,150,41
UE-4,316,200,41
UE-5,316,250,41
UE-6,316,300,41
UE-7,316,350,41
UE-8,316,400,41
UE-9,316,450,41
UE-10,316,500,41
UE-11,316,550,41
UE-1,150,50,42
UE-2,150,100,42
UE-3,150,150,42
UE-4,150,200,42
UE-5,150,250,42
UE-6,150,300,42
UE-7,150,350,42
UE-8,150,400,42
UE-9,150,450,42
UE-10,150,500,42
UE-11,150,550,42
UE-1,317,50,43
UE-2,317,100,43
UE-3,317,150,43
UE-4,317,200,43
UE-5,317,250,43
UE-6,317,300,43
UE-7,317,350,43
UE-8,317,400,43
UE-9,317,450,43
UE-10,317,500,43
UE-11,317,550,43
UE-1,484,50,44
UE-2,484,100,44
UE-3,484,150,44
UE-4,484,200,44
UE-5,484,250,44
UE-6,484,300,44
UE-7,484,350,44
UE-8,484,400,44
UE-9,484,450,44
UE-10,484,500,44
UE-11,484,550,44
UE-1,650,50,45
UE-2,650,100,45
UE-3,650,150,45
UE-4,650,200,45
UE-5,650,250,45
UE-6,650,300,45
